DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2021-06,113.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2021-07,110.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2021-08,110.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2021-09,110.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2021-10,112.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2021-11,110.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2021-12,113.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-01,114.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-02,117.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-03,117.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-04,123.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-05,125.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-06,133.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-07,135.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-08,135.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-09,142.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-10,144.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-11,150.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2022-12,151.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-01,154.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-02,155.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-03,156.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-04,156.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-05,154.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-06,153.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-07,156.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-08,152.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-09,152.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-10,149.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2023-11,152.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2014-12,101.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-01,104.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-02,106.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-03,106.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-04,104.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-05,102.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-06,106.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-07,103.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-08,97.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-09,95.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-10,96.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-11,88.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2015-12,87.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-01,87.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-02,84.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-03,83.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-04,87.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-05,86.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-06,88.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-07,86.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-08,83.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-09,86.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-10,84.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-11,83.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2016-12,78.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-01,85.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-02,88.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-03,84.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-04,81.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-05,85.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-06,83.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-07,85.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-08,83.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-09,88.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-10,90.7,
